SKU,Nombre,Marca,Precio,Rating,Tags,Descripcion,link,fecha
MPM00015917084,ADAPTADOR USB 8BITDO INALÁMBRICO - PS4/SW/PC/MAC - SNIPER,8BITDO,$29.990,2,"Sony, Playstation 4, Videojuegos","Compatibilidad:-Switch, Windows, macOS-Android TV box, Raspberry Pi, RetrofreakCompatibilidad de Controles:-8BitDo controllers and arcade sticks (excluding 2.4G controllers)-Xbox Bluetooth controller-DualShock 3, DualShock 4, DualShock 4 Pro-Wiimote, Wii U Pro, Switch Joy-Cons, Switch ProCaracteristicas Especiales:-DualShock 4 soporta vibración-6-axis motion on Switch-X-input, D-input, Mac mode, Switch mode-X-input mode support vibration-Lag freeConectividad-Bluetooth 2.1, Class 2 (2.402GHz - 2.48GHz)Incluye:-USB wireless adaptador x1",https://simple.ripley.cl/adaptador-usb-8bitdo-inalambrico-ps4swpcmac-sniper-mpm00015917084,19/07/2021
2000381109789P,JUST DANCE 2021,SONY,$64.990,Sin,"Sony, Playstation 4, Videojuegos",JUST DANCE 2021Videojuego para PS4 Just Dance 2021. Muévete al ritmo de geniales melodías y canciones con el notable juego de video musical Just Dance 2021. ¡Consigue el tuyo a través de Ripley.com!INFORMACIÓN ADICIONALNúmero de Jugadores: UN JUGADOR O MULTIJUGADOR.Género: Musical y Baile.Edad recomendada: TE ( TODA EDAD: Videojuego sin contenido objetable que puede ser visto por personas de cualquier edad).Garantía otorgada por el Fabricante: 3 MESES.,https://simple.ripley.cl/just-dance-2021-2000381109789p,19/07/2021
1922220,JOYSTICK PLAYSTATION 4 BLUETOOTH ROJO PUNTOSTORE,,$42.590,Sin,"Sony, Playstation 4, Videojuegos","El controlador inalámbrico incluye los controles conocidos e incorpora muchas funciones innovadoras para adentrarse en una nueva era de experiencias interactivas. Sus joysticks análogos y botones de gatillo definitivos fueron mejorados para mayor sensación al tacto y sensibilidad, el panel multitáctil con capacidad de clic amplía las posibilidades de juego.Características:- Tecnología Wireless BT.- Sensor de 6 ejes.- Touchpad.- Botones: 4 botones de acción; L1-L2/R1-R2.- Botones direccionales; Arriba / Abajo / Izquierda / Derecha.- 2 Stick Analógicos.- Doble Vibración.- Barra de iluminación.- Botón de compartir.- Batería recargable 1000 mAh.",https://simple.ripley.cl/joystick-playstation-4-bluetooth-rojo-puntostore-mpm00018991912,19/07/2021
2000381109796P,WATCH DOGS LEGION,SONY,$64.990,Sin,"Sony, Playstation 4, Videojuegos","WATCH DOGS LEGIONVideojuego para PS4 WATCH DOGS LEGION. Una nueva entrega de acción de este notable juego de video. ¡Coloca a prueba tus habilidades con esta genial apuesta gamer!INFORMACIÓN ADICIONALNúmero de Jugadores: UN JUGADOR O MULTIJUGADOR.Género: Videojuego Mundo Abierto- Acción, Aventura.Edad recomendada: 18 + Videojuego no recomendado para menores de 18 años por contener un porcentaje de lenguaje vulgar, material sexual explicito , desnudez o frecuente o importantes niveles de violencia.Garantía otorgada por el Fabricante: 3 MESES.",https://simple.ripley.cl/watch-dogs-legion-2000381109796p,19/07/2021
2000380944800P,NFS HOT PURSUIT REMASTER,SONY,$52.990,1,"Sony, Playstation 4, Videojuegos","NFS HOT PURSUIT REMASTERVideojuego para Nintendo Switch NFS HOT PURSUIT REMASTER. Pisa el acelerador a fondo, ejecuta geniales trucos y notables movimientos con este videojuego. ¡Consigue el tuyo a través de Ripley.com!INFORMACIÓN ADICIONALNúmero de Jugadores: UN JUGADOR O MULTIJUGADOR.Género: Videojuego de Carreras.Edad recomendada: 14+. Videojuego no recomendado para menores de 14 años por contener un porcentaje moderado de lenguaje inapropiado, insinuaciones sexuales o violencia.Garantía otorgada por el Fabricante: 3 MESES.",https://simple.ripley.cl/nfs-hot-pursuit-remaster-2000380944800p,19/07/2021
2000383756936P,MASS EFFECT TRILOGY REMASTER,SONY,$54.990,Sin,"Sony, Playstation 4, Videojuegos",MASS EFFECT TRILOGY REMASTERUna persona es todo lo que se interpone entre la humanidad y la mayor amenaza de su historia. Vuelve a experimentar la leyenda del comandante Shepard en la aclamada trilogía Mass Effect. ¡Descubre este atractivo videojuego para PS4 en Ripley.com!,https://simple.ripley.cl/mass-effect-trilogy-remaster-2000383756936p,19/07/2021
1922214,JOYSTICK PLAYSTATION 4 BLUETOOTH NEGRO PUNTOSTORE,TECNOLAB,$42.590,Sin,"Sony, Playstation 4, Videojuegos","El controlador inalámbrico incluye los controles conocidos e incorpora muchas funciones innovadoras para adentrarse en una nueva era de experiencias interactivas. Sus joysticks análogos y botones de gatillo definitivos fueron mejorados para mayor sensación al tacto y sensibilidad, el panel multitáctil con capacidad de clic amplía las posibilidades de juego.Características:- Tecnología Wireless BT.- Sensor de 6 ejes.- Touchpad.- Botones: 4 botones de acción; L1-L2/R1-R2.- Botones direccionales; Arriba / Abajo / Izquierda / Derecha.- 2 Stick Analógicos.- Doble Vibración.- Barra de iluminación.- Botón de compartir.- Batería recargable 1000 mAh.",https://simple.ripley.cl/joystick-playstation-4-bluetooth-negro-puntostore-mpm00018991888,19/07/2021
MPM00018991934,JOYSTICK PLAYSTATION 4 BLUETOOTH MILITAR PUNTOSTORE,TECNOLAB,$47.590,Sin,"Sony, Playstation 4, Videojuegos","El controlador inalámbrico incluye los controles conocidos e incorpora muchas funciones innovadoras para adentrarse en una nueva era de experiencias interactivas. Sus joysticks análogos y botones de gatillo definitivos fueron mejorados para mayor sensación al tacto y sensibilidad, el panel multitáctil con capacidad de clic amplía las posibilidades de juego.Características:- Tecnología Wireless BT.- Sensor de 6 ejes.- Touchpad.- Botones: 4 botones de acción; L1-L2/R1-R2.- Botones direccionales; Arriba / Abajo / Izquierda / Derecha.- 2 Stick Analógicos.- Doble Vibración.- Barra de iluminación.- Botón de compartir.- Batería recargable 1000 mAh.",https://simple.ripley.cl/joystick-playstation-4-bluetooth-militar-puntostore-mpm00018991934,19/07/2021
2000381238168P,PS5 DEMONS SOULS,SONY,$76.990,2,"Sony, Playstation 4, Videojuegos","PS5 DEMONS SOULSCompletamente rediseñada, esta nueva versión te invita a experimentar una inquietante historia y el combate despiadado de Demon’s Souls™. De PlayStation Studios y Bluepoint Games llega un remake del clásico de PlayStation Demon’s Souls. Completamente reconstruido desde cero y mejorado con maestría, este remake presenta los horrores de una tierra de fantasía oscura saturada de niebla a toda una nueva generación de jugadores. Aquellos que enfrentaron sus pruebas, pueden una vez más desafiar a la oscuridad en calidad visual impresionante con desempeño increíble.En su búsqueda de poder, el 12.°rey de Boletaria, el rey Allant canalizó las antiguas artes del arma, despertando a un demonio desde los albores del tiempo mismo, el Antiguo. Con la invocación del Antiguo, una niebla sin color barrió por la tierra, desatando criaturas pesadillescas con hambre de almas humanas. Aquellos a los que les arrancaron las almas perdieron el juicio, y solo les quedó el deseo de atacar a los cuerdos restantes.Ahora, Boletaria queda marginada del mundo exterior y a los caballeros que se atreven a adentrarse en la densa niebla para liberar a la tierra de su aprieto, no los ven nunca más. Como guerrero solitario que desafió a la perniciosa niebla, debes enfrentar el desafío más duro para ganarte el título ‘Matademonios’ y enviar al Antiguo de vuelta a su letargo.Descubre dónde comenzó el viaje: Vive el brutal desafío original, completamente rehecho desde cero. Todo presentado en una calidad visual increíble con desempeño mejorado, este es el mundo de Boletaria como nunca lo viste antes.Domina las artes de la hechicería y la guerra: Perfecciona y refina tus habilidades de combate, aprende cuándo presionar y cuando esperar el momento, ya que con cada golpe errado y cada error descuidado, te arriesgas a perder las mismas almas que tanto te esforzaste en recolectar. Las recompensas por matar a los enemigos más fuertes son inmensas, no obstante, y la muerte no quiere decir el final, es solo otro estado del ser.Conviértete en el matademonios: Aventúrate en el reino del norte de Boletaria: una tierra otrora próspera de caballeros, ahora asolada con criaturas innombrables y demonios voraces. Conoce personajes extraños, trastornados y retorcidos por el mundo que los rodea, y descubre la perturbadora historia de las almas de Demon’s Souls.",https://simple.ripley.cl/ps5-demons-souls-2000381238168p,19/07/2021
1850970,CARGADOR DOBLE PS4,GENERICO,$9.990,Sin,"Sony, Playstation 4, Videojuegos",Dual USB Carga para el Controlador de PS4Color: NegroMaterial: De Plásticocomposición: Base + Cargador + cable USBTamaño del producto: Aprox. 15.5 * 11.4*15.4 cmUSB longitud del cable: Aprox.49.5cmVoltaje de entrada: DC 5 VTensión de salida: DC 5 VTiempo de Charing: 2-4 HCharing actual: = 500MAIncluye1 base de carga de controles1 cable USB,https://simple.ripley.cl/cargador-doble-ps4-mpm00017847252,19/07/2021
2000381299084P,SACKBOY A BIG ADVENTURE,SONY,$59.990,Sin,"Sony, Playstation 4, Videojuegos","SACKBOY A BIG ADVENTURELleva a Sackboy a una aventura de plataformas 3D épica con tus amigos. Sackboy, el emblemático héroe de PlayStation®, vuelve a la acción con una aventura de plataformas multijugador gigante, divertida, frenética y en 3D.¡Y con una nueva y provocadora actitud sackadísima! Y esto es lo que sucede: El malvado Vex (un ser casi mítico nacido nada menos que del miedo y del caos) secuestró a los amigos de Sackboy y los obligó a construir el Ponepatas Pararriba. Este diabólico y mortal dispositivo hará que Mundo Artesano pase de ser una tierra fantástica de pura imaginación y sueños inocentes a... un paisaje desolado lleno de pesadillas. ¡Ay, qué terrible!Pero las leyendas hablan de una profecía originada en lo más profundo de la orden de los Caballeros Tejidos, los protectores legendarios de Mundo Artesano. Solo los valientes, intrépidos, caballerosos y, obviamente, galantes pueden salvar al mundo en una carrera contra el tiempo casi demasiado dramática para ponerla en palabras y plagada de peligros. Tantos peligros.Aventúrate a solas o con tus amigos más valientes a un torbellino de andanzas a través de las montañas más nevadas, las selvas más enmarañadas, los reinos submarinos más mojados y las colonias espaciales más espaciosas. Derrota a Vex. Salva a los sackianos. Salva al mundo. Es hora de cumplir con tu destino, Sackboy. Del chico maravilla lanudo y héroe de arpillera... se alza nuestro Caballero Tejido.Experiencia desafiante en plataformas: Explora por todos lados usando los geniales y diversos movimientos de Sackboy para enfrentar una gran variedad de retos emocionantes, enemigos feroces y sorpresas extraordinarias.Un multijugador colaborativo, caótico y alegre. Participa de retos desopilantes en partidas grupales locales y online.",https://simple.ripley.cl/sackboy-a-big-adventure-2000381299084p,19/07/2021
2000379805372P,IRON MAN VR PS4,SONY,$49.990,Sin,"Sony, Playstation 4, Videojuegos","IRON MAN VR PS4Con el casco PlayStation®VR* erás el Vengador Armado en esta aventura de Iron Man!Tony Stark ha dejado las armas para crear tecnología con la que combatir el mal como Iron Man.Tras varios años ejerciendo de superhéroe de talla mundial, Tony recibe el ataque de la misteriosa Fantasma, una pirata informática anticorporativista que reutiliza armas antiguas de Industrias Stark.Para acabar con su imperio, Fantasma ataca centros de Stark en una misión temeraria con un combate final.CaracterísticasUsa dos mandos de movimiento PlayStation Move** para activar los reactores de Iron Man y surcar los cielos con su arsenal.Mejora la armadura y sus habilidades en el garaje de Tony Stark.Enfréntate a uno de los mayores enemigos de Iron Man en combates repletos de acción donde todo está en juego.* PlayStation VR no es apto para niños menores de 12 años. Es necesario tener los sistemas PlayStation 4, PlayStation VR y PlayStation Camera para disfrutar de las funciones de RV.**Requiere dos mandos de movimiento PS Move para jugar. Se venden por separado.IRON MAN VR PS4",https://simple.ripley.cl/iron-man-vr-ps4-2000379805372p,19/07/2021
2000381294171P,SPIDERMAN MILES MORALES PS5,SONY,$59.990,1,"Sony, Playstation 4, Videojuegos","SPIDERMAN MILES MORALES PS5Sé mejor. Sé quién eres.Experimenta el ascenso de Miles Morales y sé testigo de cómo el nuevo héroe domina nuevos poderes increíbles y explosivos para convertirse en su propia versión de Spider-Man.En la última aventura del universo de Spider-Man de Marvel, el adolescente Miles Morales intenta ajustarse a su nuevo hogar mientras que sigue los pasos de su mentor, Peter Parker, para convertirse en el nuevo Spider-Man.Pero cuando un feroz enfrentamiento por el poder amenaza con destruir su hogar, el aspirante a héroe entiende que un gran poder conlleva una gran responsabilidad. Para salvar a la Nueva York de Marvel, Miles debe adoptar el manto de Spider-Man y volverlo propio.- El ascenso de Miles MoralesMiles Morales descubre poderes explosivos que lo diferencian de su mentor, Peter Parker. Domina sus ataques bioeléctricos de ráfaga de veneno y su poder de camuflaje junto con espectaculares acrobacias de lanzamiento de telarañas, accesorios y habilidades.- Una guerra por el poderUna guerra por el control de la Nueva York de Marvel estalló entre una corporación de energía siniestra y un ejército criminal con tecnología de punta. Ahora que su hogar es el epicentro de la batalla, Miles debe aprender el costo de convertirse en héroe y decidir qué sacrificar por el bien mayor.- Un nuevo y vibrante hogarRecorre las ciudades nevadas del nuevo vecindario ajetreado y bullicioso mientras Miles busca un sentido de pertenencia. Cuando la línea entre su vida personal y su lucha contra el crimen se vuelve muy delgada, Miles descubre a las personas en las que puede confiar y encuentra un verdadero hogar.",https://simple.ripley.cl/spiderman-miles-morales-ps5-2000381294171p,19/07/2021
2000378894438P,GTA V PREMIUM EDITION,SONY,$29.990,1,"Sony, Playstation 4, Videojuegos","GTA V PREMIUM EDITIONGrand Theft Auto V: Premium. Vive al máximo tus aventuras con una experiencia completa de la historia de Grand Theft Auto V. En esta versión vivirás en un mundo en constante evolución de GTA Online.Todas las mejoras jugables y de contenido hasta la fecha como Golpe del Juicio Final, Tráfico de armas, Smuggler's Run, Moteros y mucho más te sorprenderán por su trama y diseño.INFORMACIÓN ADICIONALCLASIFICACIÓN A-ADULTOS ÚNICAMENTEEl contenido es apto sólo para adultos de 18 años o más. Puede que incluya escenas prolongadas de violencia intensa, contenido sexual gráfico o apuetsas con moneda real.Desarrollador: Rockstar Studios.Idioma: Subtitulado en Castellano.Online: Este juego se puede jugar en línea.Links: Golpe de Juicio Final: https://www.rockstargames.com/es/newswire/article/60314/GTA-Online-The-Doomsday-Heist-Out-NowTráfico de Armas: https://www.rockstargames.com/es/newswire/article/60226/GTA-Online-Gunrunning-Now-AvailableSmuggler's Run: https://www.rockstargames.com/es/newswire/article/60260/GTA-Online-Smuggler-s-Run-Now-AvailableMoteros: https://www.rockstargames.com/es/newswire/article/52670/gta-online-bikers-now-available",https://simple.ripley.cl/gta-v-premium-edition-2000378894438p,19/07/2021
MPM00015917116,CARGADOR PLAYSTATION VITA - KMD - SNIPER,KMC,$24.990,Sin,"Sony, Playstation 4, Videojuegos","Nunca más te quedes sin energía con el nuevo adaptador de CA de KMD para PS VITA. Así como necesitas recobrar energías, también lo hace tu PS VITA. El adaptador de CA de color negro combina con el aspecto elegante de su consola de juegos portátil y se conecta rápida y firmemente, y permite al menos 7 pies de extensión desde su toma de corriente. Manténgase cargado para siempre. Compatible con el Sony PS VITA oficial. Entrada: 100V-240V 0.3A; 50 / 60Hz. Salida: 5V = 1A. 7 pies de largo total. Fácil almacenamiento y apto para viajes. El cargador también funciona como un cable de transferencia de datos para USB.",https://simple.ripley.cl/cargador-playstation-vita-kmd-sniper-mpm00015917116,19/07/2021
2000382923292P,RETURNAL PS5,SONY,$69.990,Sin,"Sony, Playstation 4, Videojuegos","RETURNALRompe el ciclo del caos en un planeta alienígena siempre cambiante. Después de aterrizar en este mundo que cambia de forma, Selene debe buscar a través del paisaje estéril de una civilización Antigua como escapar. Aislada y sola, ella se encuentra luchando con dientes y uñas para poder sobrevivir. Una y otra vez, pierde la batalla, obligada a reiniciar su viaje cada vez que muere.A través de una dinámica de juego implacable, descubrirás que así como el planeta cambia con cada ciclo, también lo hacen los elementos a tu disposición. Cada ciclo ofrece nuevas combinaciones, lo que te obliga a superar tus límites y combatir con una estrategia diferente cada vez.Traído a la vida con los asombrosos efectos visuales la belleza oscura del mundo que te rodea está llena de sorpresas explosivas, que cobran vida con los impresionantes efectos visuales. Desde grandes desafíos, combates propulsados por el infierno de balas que es el planeta hasta los giros y vueltas viscerales de los entornos duros y contrastantes. Explorará, descubrirá y luchará por su camino a través de un viaje implacable, donde el misterio acecha cada movimiento.Diseñado con una rejugabilidad extrema, el mundo procesal de Returnal te invita quitarte el polvo ante la derrota y enfrentarte a nuevos desafíos en evolución con cada renacimiento.",https://simple.ripley.cl/returnal-ps5-2000382923292p,19/07/2021
2067933,CONTROL PS3 CON BLUETOOTH ULTRA NEGRO,ULTRA,$16.990,Sin,"Sony, Playstation 4, Videojuegos","Control PS3 Bluetooth Negro Ultra.Compatible con consolas PlayStation 3, el control Double Shock 3 de Ultra esta dedicado a mantenerte cerca de la acción de manera inalámbrica, sin la inconveniencia de los cables. Su agarre ergonómico, vibración y sensores de detección de movimiento te otorgarán una mayor precisión y control en tus manos, a tu disposición para conseguir la mejor experiencia de juego posible. Vive en Estado Play! de la mano de Ultra y PS3.",https://simple.ripley.cl/control-ps3-con-bluetooth-ultra-negro-mpm00017939216,19/07/2021
2000382093216P,HITMAN 3 PS5,SONY,$59.990,1,"Sony, Playstation 4, Videojuegos","HITMAN 3 PS5HITMAN 3 es el espectacular cierre de la trilogía de Mundo del asesinato.El despiadado profesional conocido como Agente 47 regresa en HITMAN 3 para hacer frente a los contratos más importantes de toda su carrera, en los que toda muerte es importante. Embárcate en un viaje intimista de oscuridad y esperanza en este espectacular cierre de la trilogía de Mundo del asesinato. La muerte te espera.Descubre una aventura en la que viajarás por todo el mundo y visitarás parajes exóticos que han sido recreados con todo lujo de detalles para ofrecerte infinidad de creativas oportunidades de asesinato. La galardonada tecnología Glacier de IOI da vida al envolvente mundo interactivo de HITMAN 3, para ofrecer al jugador una rejugabilidad y unas posibilidades de elección sin parangón.Reserva el juego para obtener el siguiente contenido digital: - El paquete TrinidadEl paquete Trinidad incluye nuevos objetos que se pueden utilizar en HITMAN 3. Cada objeto tiene una temática representativa de cada uno de los juegos de la trilogía de Mundo del asesinato.",https://simple.ripley.cl/hitman-3-ps5-2000382093216p,19/07/2021
2000382923278P,OUTRIDERS,SONY,$56.990,Sin,"Sony, Playstation 4, Videojuegos","OUTRIDERSOUTRIDERS Es un shooter RPG cooperativo de 1 a 3 jugadores ambientado en un universo de ciencia ficción original, oscuro y salvaje. Mientras el mundo muere en las trincheras de Enoch, crearás tu propio Outrider y te embarcarás en un viaje por todo el hostil planeta.Con una gran historia en un mundo diverso, dejarás las barriadas y zonas pobres de la Primera Ciudad y cruzarás bosques, montañas y desiertos para perseguir una misteriosa señal.Combinando tiroteos intensos con poderes violentos y un arsenal mejorable, OUTRIDERS ofrece incontables horas de juego gracias a uno de los mejores desarrolladores de shooters de la industria, People Can Fly.Hell’s Rangers Content Pack: Reserva OUTRIDERS ahora para recibir el paquete de contenido de Hell's Rangers, que incluye: Conjuntos de equipo para hombre y mujer de Hell's Rangers.Arsenal de Hell's Rangers con 11 armas únicas.Calcomanías y mods de camiones de Hell's Rangers.INCLUYE:DualSense",https://simple.ripley.cl/outriders-2000382923278p,19/07/2021
